t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
0.00000,0.71925,0.05210,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
0.50000,0.72260,0.04888,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
1.00000,0.72595,0.04566,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
1.50000,0.72930,0.04244,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
2.00000,0.73265,0.03922,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
2.50000,0.73600,0.03600,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
3.00000,0.73934,0.03278,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
3.50000,0.74269,0.02956,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
4.00000,0.74604,0.02634,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
4.50000,0.74939,0.02312,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
5.00000,0.75274,0.01990,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
5.50000,0.75609,0.01668,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
6.00000,0.75944,0.01346,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
6.50000,0.76279,0.01024,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
7.00000,0.76614,0.00702,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
7.50000,0.76948,0.00380,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
8.00000,0.77283,0.00058,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
8.50000,0.77618,-0.00264,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
9.00000,0.77953,-0.00586,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
9.50000,0.78288,-0.00908,0.00000,0.00670,-0.00644,0.00000,0.00000,0.00000,0.00000
